EMA_FAST,EMA_SLOW,Trades,Win Rate,Profit,Capital,Symbol
15,50,3,100.0,5703.6,105703.6,BAJFINANCE.NS
10,30,3,100.0,5670.31,105670.31,SUNPHARMA.NS
20,50,2,100.0,3787.15,103787.15,TRENT.NS
10,30,2,100.0,3489.12,103489.12,APOLLOHOSP.NS
10,50,3,66.67,2669.36,102669.36,LT.NS
20,50,1,100.0,1915.5,101915.5,ETERNAL.NS
10,50,1,100.0,1915.31,101915.31,BEL.NS
20,100,1,100.0,1915.14,101915.14,HINDALCO.NS
15,30,1,100.0,1914.1,101914.1,TATASTEEL.NS
15,100,1,100.0,1913.31,101913.31,POWERGRID.NS
10,100,1,100.0,1912.44,101912.44,ICICIBANK.NS
10,50,1,100.0,1912.07,101912.07,JSWSTEEL.NS
10,50,1,100.0,1910.3,101910.3,CIPLA.NS
15,100,1,100.0,1909.14,101909.14,ASIANPAINT.NS
10,100,1,100.0,1906.91,101906.91,NESTLEIND.NS
10,100,1,100.0,1904.25,101904.25,COALINDIA.NS
20,100,1,100.0,1901.03,101901.03,TATACONSUM.NS
20,100,1,100.0,1873.86,101873.86,GRASIM.NS
10,50,2,50.0,865.45,100865.45,ADANIPORTS.NS
15,100,2,50.0,855.88,100855.88,SHRIRAMFIN.NS
10,30,2,50.0,846.05,100846.05,TECHM.NS
20,50,2,50.0,845.8,100845.8,DRREDDY.NS
10,50,2,50.0,841.6,100841.6,INDUSINDBK.NS
10,30,2,50.0,836.87,100836.87,NTPC.NS
10,30,2,50.0,834.1,100834.1,EICHERMOT.NS
10,30,2,50.0,830.88,100830.88,KOTAKBANK.NS
10,30,2,50.0,830.68,100830.68,ADANIENT.NS
15,50,2,50.0,828.35,100828.35,HDFCBANK.NS
10,50,2,50.0,818.64,100818.64,AXISBANK.NS
20,30,2,50.0,812.54,100812.54,BAJAJFINSV.NS
10,100,2,50.0,790.71,100790.71,BAJAJ-AUTO.NS
20,100,0,0.0,0.0,100000.0,BHARTIARTL.NS
10,50,0,0.0,0.0,100000.0,HCLTECH.NS
10,50,0,0.0,0.0,100000.0,HDFCLIFE.NS
15,50,0,0.0,0.0,100000.0,HEROMOTOCO.NS
10,30,0,0.0,0.0,100000.0,INFY.NS
10,100,0,0.0,0.0,100000.0,ITC.NS
10,100,0,0.0,0.0,100000.0,JIOFIN.NS
10,100,0,0.0,0.0,100000.0,M&M.NS
20,100,0,0.0,0.0,100000.0,MARUTI.NS
10,30,0,0.0,0.0,100000.0,ONGC.NS
20,100,0,0.0,0.0,100000.0,RELIANCE.NS
15,100,0,0.0,0.0,100000.0,SBILIFE.NS
20,30,0,0.0,0.0,100000.0,SBIN.NS
10,50,0,0.0,0.0,100000.0,TCS.NS
15,100,0,0.0,0.0,100000.0,ULTRACEMCO.NS
10,100,0,0.0,0.0,100000.0,WIPRO.NS
10,30,3,33.33,-249.57,99750.43,TITAN.NS
20,100,1,0.0,-1059.72,98940.28,HINDUNILVR.NS
